NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	113	0.3305197	1.5425068	0.0038535646	0.018849125	0.17	4942	tags=37%, list=27%, signal=51%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	220	0.30294567	1.5392627	0.0	0.018316066	0.176	4076	tags=35%, list=23%, signal=45%	
GOBP_MELANOCYTE_DIFFERENTIATION	GOBP_MELANOCYTE_DIFFERENTIATION	Details ...	27	0.44946486	1.5259889	0.037113402	0.018727375	0.19	3749	tags=56%, list=21%, signal=70%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	208	0.29431075	1.5059958	0.004016064	0.021088768	0.225	3600	tags=31%, list=20%, signal=39%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	206	0.29247162	1.4990406	0.0019880715	0.021107092	0.238	3474	tags=30%, list=19%, signal=36%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	205	0.28735325	1.4704672	0.003968254	0.026270272	0.304	4114	tags=31%, list=23%, signal=40%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		181	0.28227967	1.4031024	0.013435701	0.044730578	0.47	4076	tags=31%, list=23%, signal=40%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		44	0.356162	1.36018	0.07429719	0.06176775	0.6	5606	tags=41%, list=31%, signal=59%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		225	0.26334283	1.3570364	0.016161617	0.060724333	0.607	5611	tags=40%, list=31%, signal=58%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		97	0.295458	1.3356347	0.05532787	0.07041813	0.672	5008	tags=38%, list=28%, signal=53%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		108	0.28704438	1.3190615	0.053045187	0.07786283	0.727	2391	tags=21%, list=13%, signal=24%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		37	0.35494787	1.3141522	0.095703125	0.07742102	0.739	6556	tags=57%, list=36%, signal=89%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		38	0.34291092	1.3091856	0.11264822	0.07773284	0.754	3734	tags=34%, list=21%, signal=43%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		167	0.26424652	1.3037264	0.049407113	0.078474276	0.765	4076	tags=33%, list=23%, signal=42%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		213	0.24334957	1.2564647	0.048582997	0.11006587	0.87	5894	tags=43%, list=33%, signal=63%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		190	0.23122546	1.1749389	0.11336032	0.19756769	0.979	4070	tags=30%, list=23%, signal=38%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		218	0.20960897	1.0941186	0.24476987	0.3345229	0.997	4039	tags=27%, list=22%, signal=34%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		172	0.215566	1.0860982	0.2570281	0.3406103	0.998	3188	tags=21%, list=18%, signal=25%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		35	0.27736557	1.0385692	0.392233	0.44514415	1.0	2235	tags=20%, list=12%, signal=23%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		51	0.24735452	0.9877908	0.47239265	0.5666077	1.0	2505	tags=24%, list=14%, signal=27%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		236	0.17777786	0.9221549	0.7073643	0.74013466	1.0	2521	tags=17%, list=14%, signal=20%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		232	0.17052278	0.88480943	0.79337233	0.8242826	1.0	2951	tags=16%, list=16%, signal=19%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		161	0.16954157	0.8474441	0.8385744	0.8892725	1.0	2761	tags=16%, list=15%, signal=19%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		107	0.1797257	0.82889754	0.8333333	0.9024034	1.0	4343	tags=27%, list=24%, signal=35%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP		66	0.19144447	0.8043221	0.8406072	0.9184624	1.0	3097	tags=21%, list=17%, signal=26%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		82	0.14921713	0.6578986	0.98755187	0.9890798	1.0	5704	tags=35%, list=32%, signal=51%	
